id,status,timbre
6r1i2dCmNPx5FjCCUbHk76,200,"[0.174, 0.165, 0.262, 1.0, 0.45, 0.149, 0.22, 0.166, 0.139, 0.191, 0.183, 0.145]"
1rKmQ8pWqhcQxZKewG0Toy,200,"[0.861, 0.864, 0.964, 0.838, 0.844, 0.823, 0.811, 0.8, 0.832, 0.917, 0.98, 1.0]"
3ygR6BIrsjInHOIUOwz12v,200,"[0.746, 1.0, 0.781, 0.787, 0.884, 0.895, 0.759, 0.772, 0.837, 0.589, 0.81, 0.715]"
3YPY9T4oY5DGmXIvcK7JZy,200,"[0.086, 0.057, 0.089, 0.256, 0.687, 0.094, 0.146, 0.451, 1.0, 0.453, 0.207, 0.451]"
1vKjyipZjeKclk4jgPacU8,200,"[0.118, 0.273, 0.115, 0.079, 0.086, 0.044, 0.103, 0.024, 0.074, 1.0, 0.173, 0.007]"
74DaOW7FM0a2QqZTBpKfKJ,200,"[1.0, 0.422, 0.468, 0.382, 0.209, 0.175, 0.576, 0.336, 0.239, 0.256, 0.542, 0.663]"
5yxrzdbgLYtjAN0u005gBS,200,"[0.013, 0.008, 0.027, 0.01, 0.009, 0.234, 0.01, 0.007, 0.063, 0.144, 1.0, 0.032]"
6WkFhoIlZkUx5MfqCoP6zj,200,"[1.0, 0.493, 0.284, 0.379, 0.274, 0.381, 0.394, 0.262, 0.328, 0.297, 0.328, 0.811]"
7DIpg5n82udaTACMSW52Ld,200,"[0.656, 0.83, 0.799, 0.855, 0.842, 0.936, 1.0, 0.88, 0.584, 0.386, 0.412, 0.526]"
6fd7BQ3nCOYfkBDAAJUZ1q,200,"[0.982, 1.0, 0.519, 0.688, 0.426, 0.392, 0.258, 0.328, 0.397, 0.366, 0.431, 0.553]"
703lpvqqOlOIxD3FKFbQN1,200,"[0.118, 0.077, 0.084, 0.075, 0.08, 0.081, 0.208, 0.762, 0.099, 0.079, 0.141, 1.0]"
0kHI7uH7xFNsS8NxtDG8oY,200,"[0.813, 0.865, 0.122, 0.097, 0.045, 0.101, 0.278, 1.0, 0.428, 0.009, 0.018, 0.47]"
0eHsllafLZj8iLKs7hBrRZ,200,"[0.814, 0.347, 0.058, 0.059, 0.06, 0.105, 0.258, 0.223, 0.669, 0.661, 1.0, 0.044]"
0GNQ2itKdzqFs7cE9GEBLI,200,"[0.568, 0.994, 0.347, 0.292, 0.167, 0.131, 0.232, 1.0, 0.295, 0.151, 0.163, 0.352]"
62kIZ5L9hy4zxB1LYBdywe,200,"[0.289, 1.0, 0.105, 0.203, 0.289, 0.201, 0.163, 0.27, 0.219, 0.228, 0.101, 0.149]"
1CSq6iTH1uiZIV3Uugqws0,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
7w9lTI7Kdgt51kHzNlfJfg,200,"[0.168, 0.298, 0.835, 0.117, 0.209, 0.151, 0.399, 0.12, 0.172, 1.0, 0.261, 0.154]"
4GZ3YCkuH0VvTluVLwUp4g,200,"[0.219, 0.189, 0.275, 1.0, 0.582, 0.328, 0.367, 0.327, 0.2, 0.173, 0.21, 0.185]"
1Wtg0SwUWBl3ybE6VDvsnt,200,"[1.0, 0.943, 0.809, 0.624, 0.56, 0.843, 0.971, 0.873, 0.685, 0.443, 0.449, 0.663]"
3Fsr4jOI1dcAJGmkS9g3XH,200,"[0.161, 0.095, 0.087, 0.46, 0.118, 0.126, 0.113, 0.084, 0.1, 0.132, 0.106, 1.0]"
4ptMDSepts7d9DnqsV0Kkf,200,"[0.834, 0.758, 0.741, 0.743, 0.651, 0.577, 0.846, 0.826, 0.874, 0.96, 1.0, 0.646]"
4yJSh0gor8tryNvGxIu4tR,200,"[0.272, 0.977, 0.199, 0.215, 0.202, 0.455, 1.0, 0.388, 0.375, 0.183, 0.188, 0.222]"
1BOb3lXwEB4k3B0i7VYzqJ,200,"[0.838, 0.842, 0.567, 0.368, 0.242, 0.434, 0.442, 0.505, 0.607, 0.75, 0.749, 1.0]"
4BAFAC8Q5I5dLrcGew7BAe,200,"[0.564, 0.081, 0.162, 0.106, 0.179, 0.807, 0.198, 0.199, 0.176, 0.08, 0.171, 1.0]"
70fe354BpVKEvMY0de78YO,200,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
